,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm)
0,10/1/2013,44772,73.665,85494,1004
1,10/2/2013,45667,76.149,85773,1129
2,10/3/2013,44472,72.635,86333,1076
3,10/4/2013,44089,74.223,87112,1434
4,10/5/2013,37683,73.892,87862,2971
5,10/6/2013,29029,49.887,88604,1368
6,10/7/2013,27504,40.324,89189,421
7,10/8/2013,42200,69.116,89521,896
8,10/9/2013,40607,62.214,89769,714
9,10/10/2013,34107,49.732,89951,482
10,10/11/2013,36381,56.497,90121,798
11,10/12/2013,35480,69.84100000000001,90301,2855
12,10/13/2013,31501,59.556000000000004,90522,2208
13,10/14/2013,36186,60.261,90770,1291
14,10/15/2013,41459,66.625,90977,934
15,10/16/2013,40644,64.115,91171,789
16,10/17/2013,40363,63.927,91343,815
17,10/18/2013,41775,69.165,91551,1267
18,10/19/2013,32469,59.523,91659,2146
19,10/20/2013,32016,60.67,91815,2114
20,10/21/2013,38348,62.216,92029,849
21,10/22/2013,39741,60.424,92213,636
22,10/23/2013,35358,50.318999999999996,92324,355
23,10/24/2013,35238,50.61,92410,444
24,10/25/2013,33711,50.108999999999995,92505,592
25,10/26/2013,26653,45.372,92598,1387
26,10/27/2013,25980,44.415,92698,1362
27,10/28/2013,34298,52.643,92844,530
28,10/29/2013,36280,53.765,92944,450
29,10/30/2013,37817,54.94,93035,453
30,10/31/2013,33991,51.283,93137,464
31,11/1/2013,33193,52.035,93221,848
32,11/2/2013,33688,64.833,93320,2434
33,11/3/2013,22414,34.853,93424,831
34,11/4/2013,29474,42.802,93495,429
35,11/5/2013,34179,49.677,93598,471
36,11/6/2013,37785,58.125,93706,627
37,11/7/2013,27849,38.518,93804,221
38,11/8/2013,31032,45.872,93859,456
39,11/9/2013,23522,39.116,93918,1121
40,11/10/2013,21270,33.486,93969,952
41,11/11/2013,29544,43.019,94061,438
42,11/12/2013,21505,27.48,94127,111
43,11/13/2013,25504,33.933,94189,157
44,11/14/2013,29194,40.663000000000004,94250,274
45,11/15/2013,31526,47.207,94305,601
46,11/16/2013,27208,48.1,94361,1696
47,11/17/2013,19397,29.366,94425,652
48,11/18/2013,33718,52.401,94533,515
49,11/19/2013,29633,40.023,94593,198
50,11/20/2013,28286,37.925,94652,252
51,11/21/2013,31089,43.428000000000004,94697,289
52,11/22/2013,27503,38.76,94739,352
53,11/23/2013,20396,31.638,94768,858
54,11/24/2013,10069,12.248,94808,137
55,11/25/2013,20649,26.561999999999998,94843,118
56,11/26/2013,16206,20.283,94873,89
57,11/27/2013,8615,10.329,94897,49
58,11/28/2013,5668,8.377,94912,211
59,11/29/2013,10967,15.405999999999999,94928,351
60,11/30/2013,10605,15.508,94955,401
61,12/1/2013,14322,21.121,94997,456
62,12/2/2013,26522,37.728,95071,240
63,12/3/2013,29766,42.165,95140,252
64,12/4/2013,30472,43.92,95197,252
65,12/5/2013,29222,41.99,95250,311
